Imp,On,TrackName,Name,TrackRefs,TrackRefsLatex,Notes,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,DiscoveryYear
st,True,Gaia-7-I21,Gaia-7,ibata2021,Ibata2021,-,14.56426559065521,175.00327432397307,-8.386930090960195,4.558076264339354,184.2847001159234,-19.849445090105256,5.1065420556034695,179.4833926583622,-14.194605158315095,4.777008256866372,258.91665084972067,35.94296396759374,1110,1,1,1,0,Ibata2019,30,2019
st,True,LMS1-Y20,LMS-1,yuan2020,Yuan2020,-,179.23328758506895,145.22568560265316,-0.06723776971582082,16.198257338794775,315.897196998628,-5.631750884122881,16.209787796706692,231.9475259385745,27.784084291605506,18.14322090165937,79.82233281938751,59.26412808959545,1111,1,1,1,1,Yuan2020,46,2020
st,True,M30-S20,M30,sollima2020,"Sollima2020,Harris1996",-,8.838690589211257,320.8350880434942,-25.43041442803955,8.458000000000009,328.2685812988224,-20.559467922701998,8.458000000000004,325.08924267006734,-23.16359014843174,8.458000000000002,302.3082501441336,65.10325578917764,1000,1,0,0,0,Sollima2020,48,2020
st,True,NGC6362-S20,NGC6362,sollima2020,"Sollima2020,Harris1996",-,4.531093281890193,258.6900250822972,-64.61030089602116,7.649000000000003,264.16994747615684,-67.87715188545374,7.649000000000009,262.9885899894076,-67.04366018311833,7.649000000000007,303.67344813410057,18.052415292497212,1000,1,0,0,0,Sollima2020,61,2020
st,True,M92-I21,M92,ibata2021,Ibata2021,-,21.08188351095982,246.93203474654277,43.03825232754601,9.15794152024484,273.17034304362113,38.3897482396264,6.9993027576805025,261.3932403789248,42.39876551925403,9.39976023247729,34.47361612008966,37.081403741628364,1110,1,1,1,0,"Sollima2020,Thomas2020,Ibata2021",51,2020
st,True,C-7-I21,C-7,ibata2021,Ibata2021,-,24.93324881841185,270.87146584824586,-53.13402347861628,6.120265710848972,305.03581361092245,-42.58159153905414,5.8956727351217975,289.9278184010252,-49.366680425146214,5.726281612390425,257.3337908257548,35.863372989630555,1110,1,1,1,0,Ibata2021,12,2021
st,True,Cetus-New-Y21,Cetus-New,yuan2021,Yuan2021,-,67.76718807479193,25.605029877710397,-0.2226967218416296,20.367238983635147,26.613432026846368,-67.96085478980962,18.733867822848037,25.79815767008524,-34.095782037016626,18.467725112459483,114.76274917951969,1.7947396958520365,1110,1,1,1,0,Yuan2021,14,2021
st,True,C-5-I21,C-5,ibata2021,Ibata2021,-,6.114733223662787,113.35053109462349,36.67835341937528,3.3518629495384373,119.80309502497622,33.59945430352414,5.624184924948612,116.6584308610465,35.21409854912785,4.299863415381942,254.76162146249342,46.52459432999072,1110,1,1,1,0,Ibata2021,11,2021
st,True,C-4-I21,C-4,ibata2021,Ibata2021,-,13.556859976794719,165.19788583465908,84.32581717510504,3.9807602537392395,249.6181476912542,77.11341213718113,3.240190679876755,226.56032847206512,82.67378275022637,3.553959729358466,5.943231432893531,5.587262313917131,1110,1,1,1,0,Ibata2021,10,2021
st,True,C-19-I21,C-19,martin2022,Martin2022,-,29.730750537726742,354.1550433865781,36.11542317395168,18.000000000000004,355.3062966454956,6.40632647113698,17.999999999999993,354.98633167946286,21.269701513542294,18.0,85.91694440535736,2.286156252303533,1010,1,0,1,0,Ibata2021,9,2021
st,True,Gaia-11-I21,Gaia-11,ibata2021,Ibata2021,-,21.73172311213869,267.71301129151755,48.68846727804634,11.46167548077819,277.26289850528445,28.25222750989693,13.834546176669903,272.8080994977688,38.46159792819099,12.503667387818151,15.622732104184577,15.59988842439085,1110,1,1,1,0,Ibata2021,23,2021
st,True,C-8-I21,C-8,ibata2021,Ibata2021,-,10.245352481574233,327.40444289908396,-81.77774076615549,3.593323701917815,346.57217500675,-72.58495394395058,3.5002941301251074,341.0986546710247,-77.35355016960773,3.438848673031056,258.2583703994293,1.5903315226646895,1110,1,1,1,0,Ibata2021,13,2021
st,True,NGC6397-I21,NGC6397,ibata2021,Ibata2021,-,18.276346689020873,257.7164531870689,-54.45677007459789,2.3893508967366586,288.3156618891923,-53.10588041597525,2.5941981336328106,273.3965944256081,-53.88444309217011,2.523002049644933,279.6453601683661,35.95447701594626,1110,1,1,1,0,Ibata2021,62,2021
