index,Z,log(age/yr),M_ini,M_act,logL/Lo,logTe,logG,mbol,gP1,rP1,iP1,zP1,yP1,wP1,int_IMF,stage,G,G_BP,G_RP
165,0.000131,10.0792,0.80139494,0.7382,2.4701,3.6934,1.5617,-1.405,-0.803,-1.343,-1.589,-1.697,-1.753,-1.297,3.07247376,7,-1.364,-0.918,-1.987
166,0.000131,10.0792,0.80140465,0.7379,2.5111,3.6911,1.5113,-1.508,-0.892,-1.441,-1.692,-1.803,-1.861,-1.395,3.07247782,7,-1.462,-1.009,-2.091
167,0.000131,10.0792,0.80141348,0.7375,2.5517,3.6888,1.4613,-1.609,-0.978,-1.539,-1.795,-1.908,-1.968,-1.493,3.07248163,7,-1.559,-1.1,-2.194
168,0.000131,10.0792,0.8014217,0.7371,2.5922,3.6865,1.4114,-1.711,-1.064,-1.635,-1.897,-2.013,-2.075,-1.59,3.07248521,7,-1.655,-1.189,-2.296
169,0.000131,10.0792,0.80142927,0.7367,2.6329,3.6842,1.3613,-1.812,-1.15,-1.732,-1.999,-2.118,-2.182,-1.687,3.07248855,7,-1.752,-1.278,-2.399
170,0.000131,10.0792,0.80143642,0.7362,2.6733,3.6819,1.3115,-1.913,-1.235,-1.828,-2.1,-2.222,-2.288,-1.783,3.07249165,7,-1.847,-1.367,-2.501
171,0.000131,10.0792,0.80144328,0.7357,2.7134,3.6796,1.2619,-2.014,-1.319,-1.923,-2.201,-2.326,-2.394,-1.878,3.07249451,7,-1.942,-1.454,-2.602
172,0.000131,10.0792,0.80144984,0.7351,2.7536,3.6773,1.2122,-2.114,-1.402,-2.018,-2.301,-2.429,-2.499,-1.973,3.07249737,7,-2.037,-1.541,-2.702
173,0.000131,10.0792,0.80145603,0.7345,2.7945,3.675,1.1614,-2.216,-1.485,-2.114,-2.403,-2.534,-2.606,-2.069,3.07249999,7,-2.132,-1.629,-2.805
174,0.000131,10.0792,0.80146146,0.7338,2.8362,3.6726,1.1097,-2.32,-1.57,-2.212,-2.506,-2.641,-2.715,-2.167,3.07250237,7,-2.23,-1.719,-2.909
175,0.000131,10.0792,0.80146599,0.7332,2.8773,3.6701,1.0584,-2.423,-1.653,-2.308,-2.609,-2.746,-2.823,-2.263,3.07250428,7,-2.326,-1.806,-3.012
176,0.000131,10.0792,0.80146992,0.7325,2.9189,3.6676,1.0065,-2.527,-1.736,-2.404,-2.711,-2.852,-2.931,-2.36,3.07250619,7,-2.422,-1.893,-3.116
177,0.000131,10.0792,0.80147344,0.7318,2.9594,3.6651,0.9556,-2.629,-1.812,-2.499,-2.813,-2.958,-3.038,-2.455,3.07250762,7,-2.517,-1.977,-3.219
178,0.000131,10.0792,0.80147702,0.731,3.0006,3.6626,0.9037,-2.731,-1.889,-2.594,-2.917,-3.066,-3.148,-2.551,3.07250905,7,-2.612,-2.06,-3.323
179,0.000131,10.0792,0.80148029,0.7302,3.047,3.6597,0.8452,-2.847,-1.974,-2.702,-3.034,-3.187,-3.272,-2.659,3.07251048,7,-2.72,-2.154,-3.441
180,0.000131,10.0792,0.80148184,0.7297,3.0775,3.6578,0.8068,-2.924,-2.028,-2.772,-3.11,-3.266,-3.353,-2.729,3.0725112,7,-2.789,-2.214,-3.518
181,0.000131,10.0792,0.80148232,0.7295,3.0507,3.6594,0.8401,-2.857,-1.98,-2.711,-3.044,-3.197,-3.282,-2.667,3.07251143,7,-2.728,-2.161,-3.451
182,0.000131,10.0792,0.80148232,0.7295,3.0349,3.6604,0.8597,-2.817,-1.951,-2.674,-3.004,-3.156,-3.24,-2.631,3.07251143,7,-2.692,-2.129,-3.411
183,0.000131,10.0792,0.80148244,0.7295,3.0217,3.6612,0.8762,-2.784,-1.927,-2.643,-2.97,-3.121,-3.205,-2.6,3.07251143,7,-2.661,-2.102,-3.377
184,0.000131,10.0792,0.80148256,0.7295,3.0374,3.6603,0.857,-2.823,-1.957,-2.68,-3.01,-3.162,-3.247,-2.637,3.07251143,7,-2.698,-2.135,-3.417
185,0.000131,10.0792,0.80148268,0.7294,3.0578,3.6591,0.8315,-2.875,-1.993,-2.727,-3.061,-3.215,-3.301,-2.684,3.07251167,7,-2.745,-2.176,-3.469
186,0.000131,10.0792,0.80148286,0.7294,3.0928,3.6568,0.7875,-2.962,-2.055,-2.807,-3.149,-3.306,-3.394,-2.764,3.07251167,7,-2.824,-2.244,-3.557
187,0.000131,10.0792,0.80148304,0.7293,3.1348,3.654,0.7342,-3.067,-2.127,-2.902,-3.254,-3.415,-3.506,-2.86,3.07251167,7,-2.92,-2.325,-3.663
188,0.000131,10.0792,0.80148339,0.7291,3.1873,3.6505,0.6673,-3.198,-2.214,-3.02,-3.385,-3.552,-3.646,-2.979,3.07251191,7,-3.038,-2.425,-3.795
189,0.000131,10.0792,0.80148399,0.7288,3.2369,3.647,0.6036,-3.322,-2.292,-3.13,-3.507,-3.68,-3.777,-3.089,3.07251215,7,-3.148,-2.516,-3.918
190,0.000131,10.0792,0.80148435,0.7286,3.2473,3.6463,0.5903,-3.348,-2.308,-3.153,-3.532,-3.706,-3.805,-3.113,3.07251239,7,-3.171,-2.535,-3.944
191,0.000131,10.0792,0.80148435,0.7286,3.2473,3.6463,0.5902,-3.348,-2.308,-3.153,-3.532,-3.706,-3.805,-3.112,3.07251239,8,-3.171,-2.535,-3.944
