source_id,ra,dec,pmra,pmdec,bp_rp,phot_g_mean_mag,l,b,parallax,parallax_over_error,phi1,phi2,pmphi1,pmphi2,probability
4972477603599662720,2.4810988010301154,-52.096474536044155,6.972148,-3.189059,1.131607,14.169228,317.472093,-63.843971,0.083437,5.532193,-2.05847,0.269325,-4.90847,0.22379,0.99905
4972548693898634112,4.408693592498612,-52.42019615110652,6.993449,-3.06887,0.574203,19.444085,314.698977,-63.928908,-0.108529,-0.433648,-3.217136,0.66227,-4.868352,0.293467,0.999706
4972652872625376640,4.882920499518729,-51.711372350481476,8.062099,-3.576006,0.669404,18.780591,314.535535,-64.692058,0.343138,2.333394,-3.561431,-0.02248,-5.877967,0.911825,1.0E-6
4973110608762792960,0.5790893194086417,-52.47678354911514,6.983202,-3.324186,0.845855,20.509609,319.535047,-63.039167,-0.007212,-0.011834,-0.883095,0.61108,-4.981447,0.186946,0.995447
4973110918000434176,0.7046159386260298,-52.48812291449977,6.925418,-3.50899,0.847744,18.228546,319.371228,-63.060622,-0.052788,-0.434359,-0.959294,0.624003,-4.915275,0.382674,0.999567
4973114044736664960,0.6321434711776082,-52.400918954812816,6.780835,-3.20507,0.664761,19.451789,319.540038,-63.121607,-0.21309,-0.874148,-0.916969,0.535886,-4.779753,0.06714,0.9998
4973116999674399232,0.8024754998035666,-52.28728597405875,7.057905,-3.006271,0.687957,19.345488,319.434707,-63.268183,0.134926,0.603574,-1.023482,0.424546,-5.055671,-0.11188,0.963136
4973123184427063168,0.06097174150115217,-52.41884101952717,7.043244,-3.657425,0.730648,18.620907,320.218759,-62.957203,-0.17249,-1.21338,-0.568284,0.54799,-5.055237,0.470206,0.995069
4973128853784151936,0.7205921912858674,-52.24743460783232,7.043773,-3.667829,0.602025,19.198865,319.57286,-63.283659,-0.12558,-0.595585,-0.974274,0.383583,-5.029645,0.540481,0.998193
4973131224606098304,0.5730543422943791,-52.25364440720621,6.939243,-3.339665,0.800841,20.796768,319.749422,-63.240222,0.907061,0.784138,-0.883838,0.387912,-4.937495,0.196273,0.998106
4973132259695258624,0.52501989092393,-52.194986805414054,6.969244,-3.408521,0.904569,17.410321,319.8637,-63.280999,-0.126177,-1.770124,-0.855561,0.328692,-4.967882,0.259913,0.99749
4973133835946293888,0.8317842291615833,-52.118608358357136,7.123111,-3.111091,0.637674,19.86572,319.553919,-63.429165,0.104394,0.309361,-1.045344,0.25633,-5.117589,-0.006287,0.911579
4973136172408386432,0.9005716067006048,-52.362981662169894,6.93799,-3.542193,0.731892,18.549583,319.244146,-63.223847,-0.028157,-0.200321,-1.081633,0.501637,-4.9197,0.432023,0.999657
4973136481646041984,0.9350350930892107,-52.321826987588445,6.82249,-3.056297,0.628566,18.922426,319.238867,-63.270014,-0.042487,-0.249266,-1.103692,0.461011,-4.814971,-0.054199,0.999379
4973148507554608000,1.412526331001997,-52.07239955868339,7.051139,-2.918486,0.650149,18.753716,318.864716,-63.616269,0.019748,0.122412,-1.403253,0.219891,-5.032776,-0.145683,0.973474
4973150156822139264,1.5151844142765147,-51.97619067389466,6.889285,-3.500161,0.658728,18.481104,318.819971,-63.729638,0.173739,1.294816,-1.469471,0.125755,-4.848927,0.438204,0.999926
4973171253701089152,0.21597261601495438,-52.296724618208636,6.875533,-3.637159,0.614619,19.035609,320.146886,-63.108237,0.250242,1.34114,-0.664631,0.427195,-4.881824,0.459825,0.999873
4973175415526660608,0.17467581332497553,-52.22622828975997,6.655268,-3.218604,0.679722,19.853346,320.264694,-63.160909,0.388748,1.20112,-0.640387,0.356337,-4.669205,0.032806,0.999964
4973202594080294400,0.5331649945879432,-51.811617282634046,7.040898,-3.37055,0.603385,18.857283,320.218394,-63.630102,0.256365,1.43581,-0.867934,-0.05451,-5.040113,0.216169,0.987555
4973210973558073728,0.9259340986022766,-51.863259282323995,7.912669,-3.776107,0.572016,19.259663,319.67336,-63.685555,0.016498,0.070612,-1.109431,0.002446,-5.887606,0.68181,1.0E-6
4973252656218162432,2.5899643641622703,-51.619349978246056,7.013332,-3.316864,0.669059,18.847806,317.727138,-64.312735,-0.129559,-0.734188,-2.147924,-0.204137,-4.940201,0.353494,0.999134
4973399647179106816,0.16968967953090808,-51.75569021340123,7.783059,-3.869741,0.569393,19.489916,320.728751,-63.582998,0.266169,0.994525,-0.644045,-0.114197,-5.787896,0.689839,1.1E-5
4973417131988434560,1.0324209905893784,-51.56591741164407,7.741836,-3.741138,0.581204,19.394667,319.817437,-63.983428,0.225435,0.960238,-1.182932,-0.293126,-5.713454,0.647731,6.9E-5
